warmup,run_id,message_id,source_row_id,source_timestamp_utc,client_started_at_utc,client_ended_at_utc,http_status,contract_ok,deadline_met,end_to_end_ms,server_processing_ms,storage_write_ms,client_network_overhead_ms,request_bytes,response_bytes,function_version,azure_received_at_utc,azure_persisted_at_utc,error
False,azure-live-20260802T165654Z,msg-00070,historical:031623,2026-05-21T03:01:08.408186800+00:00,2026-08-02T16:56:59.206+00:00,2026-08-02T16:56:59.253+00:00,200,True,True,46.582,8.621,8.324,37.961,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.375Z,2026-08-02T16:56:59.383Z,
False,azure-live-20260802T165654Z,msg-00071,historical:032074,2026-05-21T03:32:08.294909800+00:00,2026-08-02T16:56:59.254+00:00,2026-08-02T16:56:59.302+00:00,200,True,True,48.389,8.754,8.515,39.635,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.423Z,2026-08-02T16:56:59.432Z,
False,azure-live-20260802T165654Z,msg-00072,historical:032526,2026-05-21T04:03:19.628704700+00:00,2026-08-02T16:56:59.303+00:00,2026-08-02T16:56:59.355+00:00,200,True,True,51.852,9.704,9.466,42.148,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.473Z,2026-08-02T16:56:59.483Z,
False,azure-live-20260802T165654Z,msg-00073,historical:032978,2026-05-21T04:32:13.574117800+00:00,2026-08-02T16:56:59.356+00:00,2026-08-02T16:56:59.405+00:00,200,True,True,49.337,9.618,9.346,39.719,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.527Z,2026-08-02T16:56:59.536Z,
False,azure-live-20260802T165654Z,msg-00074,historical:033430,2026-05-21T05:01:27.302836900+00:00,2026-08-02T16:56:59.406+00:00,2026-08-02T16:56:59.452+00:00,200,True,True,46.044,8.111,7.868,37.933,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.575Z,2026-08-02T16:56:59.583Z,
False,azure-live-20260802T165654Z,msg-00075,historical:033881,2026-05-21T05:29:47.078372200+00:00,2026-08-02T16:56:59.454+00:00,2026-08-02T16:56:59.500+00:00,200,True,True,46.519,7.341,7.087,39.178,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.624Z,2026-08-02T16:56:59.631Z,
False,azure-live-20260802T165654Z,msg-00076,historical:034333,2026-05-21T05:58:19.053056300+00:00,2026-08-02T16:56:59.501+00:00,2026-08-02T16:56:59.548+00:00,200,True,True,46.313,8.846,8.604,37.467,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.671Z,2026-08-02T16:56:59.680Z,
False,azure-live-20260802T165654Z,msg-00077,historical:034785,2026-05-21T06:27:24.510432500+00:00,2026-08-02T16:56:59.548+00:00,2026-08-02T16:56:59.593+00:00,200,True,True,44.857,7.55,7.313,37.307,555,609,v3.0-azure-live-replay,2026-08-02T16:56:59.717Z,2026-08-02T16:56:59.724Z,
False,azure-live-20260802T165654Z,msg-00078,historical:035237,2026-05-21T06:55:51.971749100+00:00,2026-08-02T16:56:59.594+00:00,2026-08-02T16:56:59.639+00:00,200,True,True,44.572,7.815,7.574,36.757,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.763Z,2026-08-02T16:56:59.771Z,
False,azure-live-20260802T165654Z,msg-00079,historical:035689,2026-05-21T07:24:20.610272500+00:00,2026-08-02T16:56:59.640+00:00,2026-08-02T16:56:59.686+00:00,200,True,True,46.799,7.506,7.267,39.293,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.810Z,2026-08-02T16:56:59.817Z,
False,azure-live-20260802T165654Z,msg-00080,historical:036140,2026-05-21T07:52:55.331938200+00:00,2026-08-02T16:56:59.688+00:00,2026-08-02T16:56:59.733+00:00,200,True,True,45.483,7.397,7.153,38.086,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.857Z,2026-08-02T16:56:59.864Z,
False,azure-live-20260802T165654Z,msg-00081,historical:036592,2026-05-21T08:22:07.671231700+00:00,2026-08-02T16:56:59.734+00:00,2026-08-02T16:56:59.781+00:00,200,True,True,46.562,9.538,8.419,37.024,555,610,v3.0-azure-live-replay,2026-08-02T16:56:59.903Z,2026-08-02T16:56:59.912Z,
